count_very_low,count_low,count_medium,count_high,count_very_high,total_pixels,pct_very_low,pct_low,pct_medium,pct_high,pct_very_high,hydro_index,state,rank
439594,31158609,216819,10151042,5281404,47247468,0.9304075299865804,65.94767998996264,0.4589007817307797,21.484838086984894,11.178173611335108,15.300839401595024,Kaduna,1
38833,24140796,5306,8043977,3818294,36047206,0.10772818287220375,66.9699504588511,0.014719587421005667,22.31511923559346,10.592482535262233,15.281537215394724,Zamfara,2
201643,23178217,29788,6611110,4326275,34347033,0.5870754542321022,67.48244309777792,0.08672655946730537,19.24797987645687,12.595775012065817,15.256656957822237,Sokoto,3
495475,16744724,77987,5833979,2655567,25807732,1.9198703706315612,64.88258635047822,0.3021846321094779,22.605547050783077,10.289811595997666,15.21610577791183,Katsina,4
709559,34369795,374204,10634284,5894962,51982804,1.364987929469907,66.11762420511214,0.7198611294611965,20.457311229305752,11.340215506651006,14.987053795712907,Bauchi,5
627554,14170998,95634,4492551,2458846,21845583,2.872681402002409,64.8689394098569,0.437772706729777,20.56503138414754,11.25557509726337,14.979357612017036,Kano,6
1844069,50317086,262384,16087291,8262044,76772874,2.4019798972225526,65.54018806173649,0.341766546345523,20.954394647255228,10.761670847440204,14.838760367366213,Niger,7
41149,3631270,10446,1076051,607813,5366729,0.76674264715062,67.66263025392189,0.19464370196445546,20.050406867945075,11.325576529017955,14.815508664588803,Imo,8
8157,6211019,26254,1900165,985334,9130929,0.08933373592106565,68.02176426955023,0.2875282460306065,20.810204525738836,10.791169222759262,14.798783343951092,Osun,9
19299,33419143,3129,8981599,5821085,48244255,0.040002690475788256,69.27072042049359,0.006485746333941731,18.61692962198297,12.06586152071371,14.686288761221412,Yobe,10
626931,21967808,320061,6990402,3504861,33410063,1.876473564267149,65.75206996766214,0.957977840388987,20.923043455500217,10.490435172181508,14.663478485508993,Benue,11
243146,12295019,300094,3802099,2005763,18646121,1.3040031221507142,65.93874940530526,1.6094178515735258,20.390830886488402,10.756998734482094,14.610531595284618,Gombe,12
8129,17369190,1626,4602935,3012811,24994691,0.03252290656443802,69.49151721859654,0.00650538148281169,18.41565074759276,12.05380374576345,14.598542546495175,Jigawa,13
168803,3985727,63262,1224578,670080,6112450,2.7616258619702414,65.20670107730943,1.0349696112033635,20.034159788628127,10.962543660888842,14.591190111984556,Ekiti,14
45988,19550982,886662,5353409,3465176,29302217,0.15694375616698217,66.72185247962638,3.0259212127191604,18.26963809598434,11.825644455503145,14.403241911695623,Oyo,15
105079,53836341,157153,14119004,9142832,77360409,0.13583046077225366,69.591593033072,0.20314396217837988,18.25094280460694,11.818489739370431,14.391470965465034,Borno,16
708918,13462571,242590,3994572,2273072,20681723,3.427751159804239,65.09404946580128,1.1729680355935528,19.314502955097115,10.990728383703814,14.320238212261135,Edo,17
126289,3407237,57748,967689,580177,5139140,2.457395595371988,66.29975054191947,1.1236899559070195,18.829784749977623,11.289379156823905,14.305541394085392,Abia,18
1737936,24983620,305550,7628133,4163003,38818242,4.477111560075286,64.3605138017327,0.7871299272130872,19.650897637250033,10.724347073728893,14.29496729913735,Kebbi,19
1466890,41161100,470826,12156920,6616155,61871891,2.370850439984128,66.52633261200954,0.7609691451001553,19.64853474415385,10.693313058752318,14.27540173291293,Taraba,20
208667,4448582,35413,1281970,739375,6714007,3.1079353953607733,66.25822701704064,0.5274495543421387,19.093962815350057,11.012425217906385,14.245040256883854,Ebonyi,21
576505,18789897,617611,5278905,3222117,28485035,2.0238872797593546,65.96410009677011,2.16819463272557,18.53220471731911,11.311613273425854,14.199849850983156,Nasarawa,22
681010,23299770,1069882,6361798,4136666,35549126,1.9156870410822475,65.54245524911076,3.0095873524429266,17.895792993616777,11.636477363747282,14.14020361569508,Kwara,23
948284,26162237,931788,7320876,4437823,39801008,2.382562773284536,65.73259903367271,2.3411165867959927,18.393694953655444,11.150026652591311,14.047493973016966,Adamawa,24
66894,4897071,10628,1214474,827999,7017066,0.9533044152641574,69.78801396481093,0.1514593136219611,17.30743304965352,11.799789256649431,14.002846773851067,Akwa Ibom,25
243909,5076839,238729,1426711,883412,7869600,3.0993824336688016,64.51203364847005,3.0335595201789163,18.129396665650095,11.225627732032123,13.987135305479311,Federal Capital Territory,26
142458,15287853,19625,4438931,2178955,22067822,0.6455462618830259,69.27667352038638,0.08893038923369963,20.114948362371237,9.873901466125655,13.970320224623888,Cross River,27
604422,10532085,88063,3128410,1622986,15975966,3.7833205203366105,65.92455817695155,0.551221753977193,19.581977077317266,10.158922471417378,13.928144313777334,Ondo,28
158360,18829767,1033276,5051970,3192299,28265672,0.5602555637099305,66.61708591255146,3.6555861824194382,17.87316431040451,11.293908030914674,13.925610542710608,Plateau,29
975864,11342526,150469,3216888,1768411,17454158,5.591011608809775,64.98466439916496,0.86208111557143,18.430496618628066,10.131746257825785,13.451246402146698,Ogun,30
56557,6915123,11887,1535453,1127055,9646075,0.5863213794211636,71.68846396073015,0.12323146979470925,15.917904432631925,11.68407875742206,13.377609027506008,Rivers,31
253498,12411360,47207,2962380,1925646,17600091,1.4403220983346052,70.518726295222,0.2682202040887175,16.83161751834124,10.941113884013442,13.29731533774456,Delta,32
17,7245619,5,1514155,1175175,9934971,0.00017111272896518773,72.93044941953026,5.032727322505521e-05,15.240658478016694,11.828670662450852,13.193465788677189,Bayelsa,33
791758,20386570,1181083,4949637,3391774,30700822,2.578947234702706,66.4039874893252,3.8470728894490187,16.122164416314323,11.047827970208745,13.077562548650977,Kogi,34
179668,5300311,529436,1173224,908498,8091137,2.220553180597486,65.50761654388005,6.543406693027197,14.500112901314116,11.22831068118115,12.537031569234337,Enugu,35
51111,3676695,175408,619323,566378,5088915,1.0043594754481064,72.24909435508356,3.4468644101935286,12.170040175558052,11.129641583716765,11.545801020453279,Anambra,36
63603,2517408,10162,452742,349420,3393335,1.874350749336567,74.18683979035374,0.29946940104646314,13.34209560800805,10.297244451255182,11.515184913956329,Lagos,37
